노드ID,노드명,노드유형코드,노드유형명,회전제한유무,회전제한유무명,X좌표,Y좌표,TM_X좌표,TM_Y좌표
1020020600,원효로-용호로진입로2,101,도로교차점,0,무,126.9565324,37.5323744,196158.015,448098.1556
1020020700,현대시장,101,도로교차점,1,유,127.0068251,37.5324703,200603.248,448107.9424
1020020800,현대자동차서비스,101,도로교차점,0,무,126.9528095,37.5323565,195828.9619,448096.3287
1020020900,용산전자단지우체국,101,도로교차점,1,유,126.9569355,37.5324851,196193.6557,448110.4346
1020021000,원효전자상가,101,도로교차점,0,무,126.9641367,37.5326157,196830.1501,448124.6533
1020021100,원효로로-용호로진출로,101,도로교차점,0,무,126.9561715,37.5326924,196126.1366,448133.467
1020021200,산호APT,101,도로교차점,0,무,126.9517228,37.5327218,195732.9327,448136.9251
1020021300,철도정비창,101,도로교차점,1,유,126.9575489,37.5327016,196247.8822,448134.4368
1020021400,이태원천주교회,101,도로교차점,0,무,126.995599,37.533063,199611.0144,448173.7091
1020021500,스페이스 빌딩,101,도로교차점,0,무,126.9567357,37.5330397,196176.0169,448171.9943
1020021600,전자랜드,101,도로교차점,1,유,126.9615411,37.5331584,196600.7559,448184.9785
1020021800,민영태크(주),101,도로교차점,0,무,126.9566704,37.533137,196170.2502,448182.793
1020021900,순천향병원,101,도로교차점,0,무,127.0063799,37.5332422,200563.8912,448193.6014
1020022100,용산전자상가,101,도로교차점,1,유,126.9629629,37.5332947,196726.4333,448200.0597
1020022200,이태원지하차도(남측),104,도로시설물,0,무,126.9892076,37.5328435,199046.092,448149.3954
1020022300,한남오거리,101,도로교차점,1,유,127.0076873,37.5333663,200679.4485,448207.3853
1020022400,농협(농산물백화점),101,도로교차점,1,유,126.9639956,37.5334333,196817.7147,448215.4056
1020022800,원효대교진출입,101,도로교차점,1,유,126.9574546,37.5335533,196239.5875,448228.9682
1020023000,성불사앞,101,도로교차점,0,무,126.9564152,37.5336273,196147.724,448237.2232
1020023100,원효로진출입(강변북로),108,IC 및 JC,0,무,126.9455297,37.5336754,195185.6042,448243.0608
1020023300,나진상가,101,도로교차점,1,유,126.9667554,37.5338036,197061.661,448256.4161
1020023400,강변북로-일반국도46호선램프(3),108,IC 및 JC,0,무,126.9439668,37.5340787,195047.4914,448287.9078
1020023500,삼성테마트,101,도로교차점,0,무,126.9506132,37.5341538,195634.9408,448295.9057
1020023600,한남2고가차도_남게천길_진출,101,도로교차점,0,무,127.0063323,37.5342019,200559.6815,448300.1261
1020023700,한성빌딩,101,도로교차점,0,무,127.0103494,37.5342464,200914.7338,448305.0943
1020023800,한남2고가차도_한남로_진입,101,도로교차점,0,무,127.0069131,37.5342941,200611.0153,448310.3568
1020023900,현대카인테리어,101,도로교차점,0,무,126.9475648,37.5343247,195365.5204,448315.0219
1020024000,강변북로-원효로램프(3),108,IC 및 JC,0,무,126.9459227,37.534582,195220.3961,448343.6631
1020024100,UN빌리지,101,도로교차점,0,무,127.0102522,37.5345683,200906.1348,448340.8131
1020024200,이태원소방파출소,101,도로교차점,1,유,126.9955912,37.5346133,199610.3303,448345.7696
1020024300,강변북로-원효로램프(2),108,IC 및 JC,0,무,126.9482712,37.5346003,195427.9678,448345.5724
1020024400,녹사평역,103,속성변화점,1,유,126.9873323,37.5345697,198880.3661,448340.9985
1020024500,원효전화국,101,도로교차점,1,유,126.9602786,37.5348148,196489.2488,448368.8669
1020024600,한남동주유소,101,도로교차점,0,무,127.006318,37.5350884,200558.4084,448398.5153
1020024700,삼각지역_한강로_진출_1,101,도로교차점,0,무,126.9735399,37.5350043,197661.3477,448389.4876
1020024800,녹사평역_이태원로_진입,101,도로교차점,0,무,126.9852347,37.5350023,198694.9858,448389.0411
1020024900,삼각지역_이태원로_진입,101,도로교차점,0,무,126.9749769,37.5349768,197788.3545,448386.4002
1020025000,용산고가차도(남측),104,도로시설물,0,무,126.969955,37.5351585,197344.5012,448406.6997
1020025100,삼각지역_한강로_진입_2,101,도로교차점,0,무,126.9734329,37.5350709,197651.895,448396.8798
1020025200,삼각지역_이태원로_진출,101,도로교차점,0,무,126.9750593,37.5350627,197795.6369,448395.9378
1020025300,제일기획,101,도로교차점,1,유,126.9987224,37.5352403,199887.085,448415.3551
1020025400,한남2고가차도(북측),104,도로시설물,0,무,127.0062186,37.5353198,200549.6201,448424.1988
1020025500,원효로2가,101,도로교차점,1,유,126.9616366,37.5353665,196609.3037,448430.0519
1020025600,삼각지,101,도로교차점,1,유,126.9740467,37.5356282,197706.1608,448458.7235
